Id	WT30_a	WT30_b	WT30_c	WT37_a	WT37_b	WT37_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WT37_a	norm.WT37_b	norm.WT37_c	baseMean	WT	WT37	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_00017	1259	724	639	1250	785	1131	1259	724	639	1250	785	1131	964.67	874	1055	1.207	0.272	0.517413856339516	0.999999471897794	0.0937	0.1442	0.1262	0.1262	TRUE	1.7686
CNAG_00018	3597	1895	2261	1682	2056	2844	3597	1895	2261	1682	2056	2844	2389.17	2584	2194	0.849	-0.236	0.568560833567383	0.999999471897794	0.0885	0.1421	0.1233	0.1233	TRUE	1.1526
CNAG_00019	6121	3814	4727	3401	3454	3905	6121	3814	4727	3401	3454	3905	4237	4887	3587	0.734	-0.446	0.229288566882887	0.999999471897794	0.0309	0.1414	0.0991	0.0991	TRUE	0.2523
CNAG_00020	3982	1549	1522	1564	1794	2492	3982	1549	1522	1564	1794	2492	2150.5	2351	1950	0.829	-0.27	0.562732096418081	0.999999471897794	0.2027	0.1422	0.1561	0.1561	TRUE	4.4646
CNAG_00021	2057	526	689	203	925	1574	2057	526	689	203	925	1574	995.67	1091	901	0.826	-0.276	0.768243407025806	0.999999471897794	0.6319	0.1441	0.2917	0.6319	TRUE	0.3397
CNAG_00022	1548	766	1270	699	1482	1920	1548	766	1270	699	1482	1920	1280.83	1195	1367	1.144	0.194	0.67606429989456	0.999999471897794	0.1784	0.1433	0.1552	0.1552	TRUE	0.3754
CNAG_00023	526	301	303	564	522	567	526	301	303	564	522	567	463.83	377	551	1.463	0.549	0.169876886617822	0.999999471897794	0.0515	0.1481	0.113	0.113	TRUE	1.3819
CNAG_00024	39337	26011	25388	31284	25275	37300	39337	26011	25388	31284	25275	37300	30765.83	30245	31286	1.034	0.049	0.899020263552714	0.999999471897794	0.0418	0.1407	0.1066	0.1066	TRUE	0.4354
CNAG_00025	2751	1806	1652	2074	1391	2087	2751	1806	1652	2074	1391	2087	1960.17	2070	1851	0.894	-0.161	0.684443004192166	0.999999471897794	0.0566	0.1424	0.1131	0.1131	TRUE	1.0039
CNAG_00026	10010	6058	6836	5142	6202	9092	10010	6058	6836	5142	6202	9092	7223.33	7635	6812	0.892	-0.164	0.68422987564776	0.999999471897794	0.0694	0.1411	0.1177	0.1177	TRUE	0.9561
CNAG_00027	1981	1105	1043	1098	1033	1443	1981	1105	1043	1098	1033	1443	1283.83	1376	1191	0.866	-0.208	0.61173424632344	0.999999471897794	0.084	0.1433	0.1205	0.1205	TRUE	1.7772
CNAG_00028	1223	836	976	553	835	1286	1223	836	976	553	835	1286	951.5	1012	891	0.881	-0.183	0.667781099778518	0.999999471897794	0.1026	0.1443	0.1295	0.1295	TRUE	0.4101
CNAG_00029	251	142	168	255	182	223	251	142	168	255	182	223	203.5	187	220	1.176	0.234	0.573745827845914	0.999999471897794	0.0524	0.1577	0.1202	0.1202	TRUE	0.8634
CNAG_00030	403	146	182	234	268	434	403	146	182	234	268	434	277.83	244	312	1.28	0.357	0.462560631362803	0.999999471897794	0.1923	0.1531	0.1662	0.1662	TRUE	3.6356
CNAG_00031	1773	1108	1208	1326	1658	2304	1773	1108	1208	1326	1658	2304	1562.83	1363	1763	1.293	0.371	0.356675067124362	0.999999471897794	0.0734	0.1428	0.1161	0.1161	TRUE	0.3845
CNAG_00032	149	78	102	138	118	139	149	78	102	138	118	139	120.67	110	132	1.201	0.264	0.543176971085087	0.999999471897794	0.0473	0.1695	0.1273	0.1273	TRUE	0.5917
CNAG_00034	71684	42200	43612	50887	46555	62677	71684	42200	43612	50887	46555	62677	52935.83	52499	53373	1.017	0.024	0.951284894345317	0.999999471897794	0.0495	0.1407	0.1096	0.1096	TRUE	1.2514
CNAG_00035	836	522	478	855	436	600	836	522	478	855	436	600	621.17	612	630	1.03	0.043	0.920547704843572	0.999999471897794	0.0996	0.1462	0.1298	0.1298	TRUE	0.3532
CNAG_00036	3244	1991	1528	5279	1073	1148	3244	1991	1528	5279	1073	1148	2377.17	2254	2500	1.109	0.149	0.796678731253205	0.999999471897794	0.4687	0.1421	0.2413	0.2413	TRUE	5.9892
CNAG_00038	2337	1604	1964	2308	1927	2093	2337	1604	1964	2308	1927	2093	2038.83	1968	2109	1.072	0.1	0.784649276833753	0.999999471897794	0.0211	0.1423	0.0957	0.0957	TRUE	0.2068
CNAG_00039	2422	1407	1503	2129	2088	2992	2422	1407	1503	2129	2088	2992	2090.17	1777	2403	1.352	0.435	0.275167733127162	0.999999471897794	0.0715	0.1423	0.1141	0.1141	TRUE	1.2163
CNAG_00040	10003	7018	6308	3001	4745	6863	10003	7018	6308	3001	4745	6863	6323	7776	4870	0.626	-0.675	0.112335613102723	0.947602834968889	0.1104	0.1411	0.1302	0.1302	TRUE	0.4047
CNAG_00043	2237	1489	1457	1369	1150	1495	2237	1489	1457	1369	1150	1495	1532.83	1728	1338	0.774	-0.369	0.33197592571187	0.999999471897794	0.0402	0.1429	0.1035	0.1035	TRUE	0.8032
CNAG_00044	7006	4212	3518	4165	2896	4143	7006	4212	3518	4165	2896	4143	4323.33	4912	3735	0.76	-0.395	0.335119990955599	0.999999471897794	0.0892	0.1414	0.121	0.121	TRUE	1.2971
CNAG_00045	637	342	348	539	274	319	637	342	348	539	274	319	409.83	442	377	0.853	-0.229	0.607316881967143	0.999999471897794	0.1207	0.1491	0.141	0.141	TRUE	1.7186
CNAG_00046	9032	6213	6430	6284	4389	6236	9032	6213	6430	6284	4389	6236	6430.67	7225	5636	0.78	-0.358	0.345152459012604	0.999999471897794	0.0417	0.1411	0.1036	0.1036	TRUE	0.5844
CNAG_00047	2334	1527	1199	2614	716	875	2334	1527	1199	2614	716	875	1544.17	1687	1402	0.831	-0.267	0.605915099184331	0.999999471897794	0.2955	0.1428	0.1924	0.1924	TRUE	3.0457
CNAG_00048	220	103	102	183	173	178	220	103	102	183	173	178	159.83	142	178	1.256	0.329	0.4635033041665	0.999999471897794	0.0945	0.1624	0.1391	0.1391	TRUE	2.4364
CNAG_00049	554	180	284	336	361	486	554	180	284	336	361	486	366.83	339	394	1.162	0.217	0.645179359265815	0.999999471897794	0.1703	0.1501	0.1569	0.1569	TRUE	0.914
CNAG_00050	1887	1444	1276	1258	935	1085	1887	1444	1276	1258	935	1085	1314.17	1536	1093	0.712	-0.491	0.190198648555519	0.999999471897794	0.0309	0.1432	0.1005	0.1005	TRUE	0.4828
