Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_02299	820	506	729	395	171	822	480	508	684	464	314	673	520.58	557	484	0.871	-0.199	0.503367492597912	0.776530757551675	0.0852	0.0374	0.0614	0.0614	TRUE	0.344
CNAG_02300	46518	26546	26785	23311	14605	31603	27243	26660	25134	27356	26831	25887	26518.66	26346	26691	1.013	0.019	0.866658605551644	0.951968493365093	0.001	0.0284	0.009	0.009	TRUE	0.0198
CNAG_02301	7282	4762	5829	3017	1487	5119	4265	4783	5470	3541	2732	4193	4163.73	4839	3489	0.721	-0.471	0.0209363818052554	0.182871132457668	0.0295	0.0294	0.0297	0.0297	TRUE	0.3481
CNAG_02302	227	118	180	74	50	192	133	119	169	87	92	157	126.05	140	112	0.808	-0.308	0.334925317756397	0.651385365176544	0.0624	0.0663	0.065	0.065	TRUE	1.3434
CNAG_02303	4112	2751	2719	2631	1620	3431	2408	2763	2551	3088	2976	2810	2766.1	2574	2958	1.149	0.201	0.123007010492593	0.426974053804209	0.003	0.0299	0.0118	0.0118	TRUE	0.0498
CNAG_02304	545	359	528	367	234	521	319	361	495	431	430	427	410.42	392	429	1.097	0.134	0.536696970261216	0.798085602447922	0.0248	0.0399	0.0312	0.0312	TRUE	0.62
CNAG_02305	863	533	586	500	265	675	505	535	550	587	487	553	536.18	530	542	1.026	0.037	0.814948948238568	0.933354086906414	0.0025	0.0372	0.0157	0.0157	TRUE	0.084
CNAG_02306	2751	2048	2182	1638	1146	2232	1611	2057	2047	1922	2105	1828	1928.55	1905	1952	1.024	0.035	0.831458083798679	0.940742293219197	0.0117	0.0307	0.0188	0.0188	TRUE	0.2234
CNAG_02307	2150	1319	1784	1327	1003	1805	1259	1325	1674	1557	1843	1479	1522.72	1419	1626	1.145	0.195	0.283478530754533	0.608807892014234	0.0183	0.0314	0.0232	0.0232	TRUE	0.2967
CNAG_02308	2178	1496	1642	1483	995	1931	1276	1502	1541	1740	1828	1582	1578.13	1440	1717	1.192	0.254	0.0940374579001109	0.388722206455664	0.0066	0.0313	0.0159	0.0159	TRUE	0.122
