Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_04765	4557	2197	2549	825	693	624	1753	1461	1576	1358	1310	1277	1455.69	1597	1315	0.823	-0.28	0.026751704750981	0.0462254724878629	0.0047	0.0175	0.0107	0.0107	TRUE	0.0899
CNAG_04766	209	96	128	17	22	10	80	64	79	28	42	20	52.23	74	30	0.404	-1.309	0.000637608525334133	0.00159331599417014	0.0101	0.1043	0.0714	0.0714	TRUE	0.5239
CNAG_04767	1979	1004	1205	452	373	358	761	668	745	744	705	732	725.89	725	727	1.003	0.005	0.972573715792146	0.978057882760554	0.0023	0.0208	0.011	0.011	TRUE	0.0557
CNAG_04768	1502	936	1105	584	547	464	578	623	683	961	1034	949	804.65	628	981	1.565	0.646	1.68204086431602e-06	6.5437376219688e-06	0.0039	0.0201	0.0117	0.0117	TRUE	0.0711
CNAG_04769	1694	959	1127	589	469	443	652	638	697	969	887	906	791.41	662	921	1.392	0.477	0.000174077694647877	0.000481520219032106	9e-04	0.0202	0.0102	0.0102	TRUE	0.0255
CNAG_04770	1851	1055	1402	522	477	406	712	702	867	859	902	831	811.97	760	864	1.137	0.185	0.201254145659052	0.270561266639833	0.0075	0.0201	0.0137	0.0137	TRUE	0.1794
CNAG_04771	2799	3307	3680	1160	921	875	1077	2199	2275	1909	1741	1790	1831.89	1850	1813	0.981	-0.028	0.907689888583095	0.929719352931277	0.0807	0.0169	0.0417	0.0417	TRUE	1.636
CNAG_04772	2785	1835	2137	526	462	365	1071	1220	1321	866	873	747	1016.41	1204	829	0.689	-0.537	0.000204559988817509	0.000560348845681591	0.0085	0.0189	0.0137	0.0137	TRUE	0.1148
CNAG_04773	62	12	17	16	15	16	24	8	11	26	28	33	21.63	14	29	2.024	1.017	0.0815342792835163	0.124282008705441	0.1484	0.2315	0.1946	0.1946	TRUE	2.7085
CNAG_04774	4133	2657	2645	1085	934	828	1590	1767	1635	1786	1766	1694	1706.22	1664	1749	1.051	0.072	0.522490301768337	0.603531067851375	0.0016	0.017	0.0085	0.0085	TRUE	0.0356
CNAG_04775	1574	761	935	166	155	145	605	506	578	273	293	297	425.4	563	288	0.51	-0.972	1.82700863130546e-09	1.06830349390484e-08	0.0049	0.0253	0.0151	0.0151	TRUE	0.0924
CNAG_04776	10022	3717	3968	830	843	751	3855	2472	2453	1366	1594	1537	2212.63	2927	1499	0.512	-0.966	4.6456219665884e-07	1.93982625185271e-06	0.0401	0.0164	0.0258	0.0258	TRUE	0.9413
CNAG_04777	701	461	797	224	193	144	270	307	493	369	365	295	349.51	357	343	0.964	-0.053	0.830522106124317	0.87060298734795	0.0588	0.0277	0.0409	0.0409	TRUE	1.3155
CNAG_04781	73	46	56	92	71	50	28	31	35	151	134	102	80.21	31	129	4.188	2.066	3.20397014993903e-12	2.52480298908567e-11	0	0.0729	0.0473	0.0473	TRUE	0.1648
CNAG_04782	3076	1800	1886	1680	1364	1332	1183	1197	1166	2765	2579	2725	1935.85	1182	2690	2.276	1.186	3.37309443573731e-29	8.13503949857358e-28	0	0.0167	0.0075	0.0075	TRUE	0.0157
CNAG_04783	2164	1332	1467	469	411	431	832	886	907	772	777	882	842.62	875	810	0.926	-0.111	0.394860826872339	0.478279146329552	0.0021	0.0199	0.0109	0.0109	TRUE	0.0677
CNAG_04784	137	101	111	74	68	52	53	67	69	122	129	106	90.87	63	119	1.904	0.929	0.000539383254555014	0.00136497397913343	0	0.066	0.0397	0.0397	TRUE	0.2259
CNAG_04785	1825	863	938	255	232	246	702	574	580	420	439	503	536.22	619	454	0.732	-0.45	0.00574986231303313	0.011790262298162	0.0097	0.0231	0.0166	0.0166	TRUE	0.1699
CNAG_04786	6451	3035	3083	930	864	845	2481	2019	1906	1531	1633	1729	1883.05	2135	1631	0.763	-0.39	0.00674851727785996	0.0135671022225028	0.0112	0.0168	0.0142	0.0142	TRUE	0.2463
CNAG_04787	996	467	497	412	353	378	383	311	307	678	667	773	519.96	334	706	2.111	1.078	3.01394522750309e-11	2.12765695904047e-10	0.0099	0.0233	0.0168	0.0168	TRUE	0.205
CNAG_04788	3552	2463	2450	812	688	612	1366	1638	1514	1336	1301	1252	1401.33	1506	1296	0.861	-0.215	0.0897755836107505	0.135442816146495	0.0046	0.0176	0.0107	0.0107	TRUE	0.0814
CNAG_04789	5899	3486	3107	814	708	777	2269	2319	1920	1340	1339	1590	1795.97	2169	1423	0.655	-0.609	1.21979082484195e-05	4.10452950345277e-05	0.0093	0.0169	0.0132	0.0132	TRUE	0.1238
CNAG_04790	1611	1042	1149	297	270	249	620	693	710	489	510	509	588.6	674	503	0.746	-0.422	0.00271595587753027	0.00601897743035403	0.0029	0.0223	0.012	0.012	TRUE	0.0621
CNAG_04791	2311	1480	1882	284	220	203	889	984	1163	467	416	415	722.53	1012	433	0.428	-1.223	3.33313225451806e-14	3.14604976168091e-13	0.0116	0.0208	0.0163	0.0163	TRUE	0.206
CNAG_04792	6527	3531	3037	1202	1136	1064	2510	2348	1877	1978	2148	2177	2173.16	2245	2101	0.935	-0.097	0.504493369990686	0.586843729561771	0.0125	0.0165	0.0145	0.0145	TRUE	0.25
CNAG_04793	36	12	37	35	20	35	14	8	23	58	38	72	35.29	15	56	3.731	1.9	0.000122192798414615	0.000348673934676146	0.1306	0.1474	0.141	0.141	TRUE	0.3046
CNAG_04794	26445	21172	19291	34588	31239	23078	10171	14082	11924	56929	59059	47217	33230.22	12059	54402	4.512	2.174	3.94384730690334e-45	1.70238555406904e-43	0.0198	0.0144	0.0171	0.0171	TRUE	0.2634
CNAG_04795	1159	735	638	267	221	260	446	489	394	439	418	532	453.03	443	463	1.044	0.063	0.713929649136363	0.776613359903231	0.0108	0.0247	0.0183	0.0183	TRUE	0.1834
