Id	WT30_a	WT30_b	WT30_c	SDS_a	SDS_b	SDS_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.SDS_a	norm.SDS_b	norm.SDS_c	baseMean	WT	SDS	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_04265	10529	6610	5505	4386	5605	3802	7466	8042	6229	4824	4459	4518	5923.07	7246	4600	0.635	-0.655	3.12234126666645e-07	8.64315039613547e-06	0.0088	0.0155	0.0116	0.0116	TRUE	0.1835
CNAG_04275	5247	3415	2709	2150	2291	1666	3721	4155	3065	2365	1823	1980	2851.32	3647	2056	0.564	-0.827	3.23838814769509e-07	8.92794651124718e-06	0.02	0.0164	0.0185	0.0185	TRUE	0.2013
CNAG_02899	412	225	155	100	101	48	292	274	175	110	80	57	164.78	247	82	0.334	-1.584	3.33062522470126e-07	9.14506083964531e-06	0.0766	0.0467	0.0612	0.0612	TRUE	0.7587
CNAG_06238	8733	4606	2479	1808	2596	1498	6193	5604	2805	1989	2065	1780	3405.93	4867	1945	0.4	-1.324	3.49566194997281e-07	9.55950780028855e-06	0.0856	0.0161	0.0483	0.0483	TRUE	1.1044
CNAG_00315	48546	22816	13310	10829	11898	7116	34425	27759	15060	11912	9465	8455	17846.13	25748	9944	0.386	-1.373	3.63952628065311e-07	9.91295872907204e-06	0.0889	0.0149	0.0524	0.0524	TRUE	0.227
CNAG_00115	28317	13762	9244	6716	9597	5916	20080	16744	10459	7387	7635	7030	11555.85	15761	7351	0.466	-1.101	4.26691139034481e-07	1.15291605774177e-05	0.0487	0.015	0.034	0.034	TRUE	0.2495
CNAG_00424	4877	2690	2807	2231	2907	1997	3458	3273	3176	2454	2313	2373	2841.14	3302	2380	0.72	-0.473	4.28710692129684e-07	1.15377615635854e-05	0.0011	0.0164	0.0059	0.0059	TRUE	0.0211
CNAG_07594	1111	701	730	428	675	470	788	853	826	471	537	558	672.16	822	522	0.636	-0.654	4.35520717829904e-07	1.16747095190609e-05	0.0023	0.0224	0.0105	0.0105	TRUE	0.0842
CNAG_01946	3787	1791	1474	1043	1523	898	2685	2179	1668	1147	1212	1067	1659.7	2177	1142	0.524	-0.932	5.18248452587328e-07	1.37295351775283e-05	0.0283	0.0178	0.0241	0.0241	TRUE	0.1082
CNAG_06800	23756	14029	11098	9084	8595	6329	16846	17068	12557	9992	6838	7520	11803.61	15490	8117	0.524	-0.933	5.7586200453925e-07	1.51964829369074e-05	0.0342	0.015	0.025	0.025	TRUE	0.4988
